28,1.316,0.797,0.965,1.017,0.784,0.902,0.949,1.01
29,1.355,0.826,0.966,1.017,0.711,0.908,0.95,1.009
30,1.395,0.852,0.967,1.018,0.67,0.912,0.951,1.009
31,1.429,0.873,0.968,1.017,0.654,0.916,0.952,1.01
32,1.449,0.892,0.969,1.017,0.658,0.921,0.951,1.011
33,1.439,0.908,0.971,1.018,0.675,0.924,0.952,1.01
34,1.378,0.923,0.971,1.018,0.698,0.927,0.952,1.01
35,1.256,0.934,0.972,1.018,0.724,0.93,0.952,1.01
36,1.085,0.944,0.973,1.018,0.752,0.933,0.952,1.01
37,0.892,0.954,0.974,1.018,0.777,0.935,0.952,1.01
38,0.722,0.962,0.974,1.018,0.801,0.938,0.953,1.01
39,0.605,0.969,0.975,1.018,0.824,0.938,0.953,1.011
40,0.548,0.973,0.974,1.019,0.844,0.941,0.954,1.01
41,0.535,0.98,0.976,1.018,0.862,0.942,0.953,1.01
42,0.551,0.983,0.976,1.019,0.877,0.943,0.953,1.011
43,0.586,0.988,0.977,1.019,0.892,0.944,0.954,1.01
44,0.626,0.991,0.977,1.019,0.903,0.946,0.953,1.011
45,0.669,0.994,0.977,1.019,0.915,0.946,0.953,1.011
46,0.708,0.997,0.977,1.019,0.923,0.947,0.954,1.011
47,0.744,0.999,0.978,1.018,0.932,0.948,0.954,1.01
48,0.776,1.001,0.978,1.019,0.939,0.949,0.954,1.01
49,0.805,1.003,0.978,1.019,0.946,0.949,0.953,1.01
50,0.83,1.005,0.979,1.019,0.951,0.951,0.954,1.011
51,0.851,1.006,0.978,1.019,0.957,0.951,0.954,1.01
52,0.869,1.007,0.979,1.019,0.961,0.951,0.954,1.01
53,0.885,1.009,0.979,1.019,0.965,0.952,0.954,1.011
54,0.899,1.01,0.979,1.019,0.968,0.952,0.955,1.011
55,0.912,1.011,0.979,1.019,0.971,0.953,0.955,1.011
56,0.921,1.012,0.979,1.019,0.973,0.952,0.954,1.011
57,0.931,1.013,0.979,1.019,0.976,0.953,0.955,1.012
58,0.938,1.013,0.979,1.02,0.979,0.954,0.955,1.011
59,0.946,1.013,0.98,1.019,0.98,0.954,0.955,1.011
60,0.951,1.013,0.98,1.019,0.982,0.954,0.955,1.01
61,0.957,1.015,0.98,1.019,0.984,0.954,0.955,1.011
62,0.96,1.014,0.98,1.019,0.985,0.954,0.954,1.011
63,0.964,1.016,0.98,1.019,0.986,0.954,0.954,1.011
64,0.968,1.015,0.98,1.019,0.986,0.954,0.955,1.011
65,0.971,1.016,0.98,1.019,0.987,0.955,0.955,1.01
66,0.974,1.016,0.981,1.02,0.989,0.955,0.954,1.011
67,0.977,1.016,0.981,1.019,0.989,0.956,0.955,1.011
68,0.978,1.017,0.98,1.02,0.99,0.956,0.955,1.011
